Speaker,Gender,Word,f0,F1,F2,F3,Duration,HasSuffix,FollowingPlace,IsSuffixBack,PrecedingPlace
1,female,bir,192.8741731,568.7524716,1516.235959,1765.28811,0.111655636,FALSE,coronal,0,labial
1,female,bir,195.9859253,568.0262527,1818.939956,2752.965437,0.069599726,TRUE,coronal,0,labial
10,female,bir,203.6120066,606.6127246,1975.578937,3033.042053,0.088327556,TRUE,coronal,0,labial
10,female,bir,162.1364832,621.2132561,1962.301182,2562.325496,0.090154096,FALSE,coronal,0,labial
11,male,bir,110.1147837,524.1900349,1334.675478,1635.046799,0.054648738,TRUE,coronal,1,labial
11,male,bir,116.2090221,484.9700569,1408.810085,2575.269097,0.092828956,FALSE,coronal,1,labial
12,male,bir,152.7200108,406.4416856,1220.441461,2087.596892,0.033336369,FALSE,coronal,1,labial
12,male,bir,122.6420423,398.9375937,1144.811031,2446.216708,0.038786515,TRUE,coronal,1,labial
13,male,bir,104.4686046,467.8135138,1250.144022,2322.813732,0.043779927,FALSE,coronal,0,labial
13,male,bir,102.584456,462.3412074,1284.745213,2099.214245,0.032731965,TRUE,coronal,0,labial
14,female,bir,165.0687882,467.3000534,1698.057801,2697.841207,0.087577923,FALSE,coronal,0,labial
14,female,bir,209.988654,454.0668751,1039.159388,2535.237346,0.043816504,TRUE,coronal,0,labial
15,male,bir,143.5467157,570.1937625,1399.091156,2487.051053,0.080274028,FALSE,coronal,1,labial
15,male,bir,145.4688426,576.3301771,1276.291252,2330.916955,0.049373599,TRUE,coronal,1,labial
16,male,bir,115.7867268,474.1747295,1288.20118,2800.29348,0.093146098,FALSE,coronal,0,labial
16,male,bir,117.9254742,473.4691715,1329.182826,2744.437441,0.074747523,TRUE,coronal,0,labial
17,female,bir,220.4405245,479.821498,1400.923993,2858.077035,0.052124926,FALSE,coronal,0,labial
17,female,bir,236.1252406,528.8186481,1661.265634,2961.95153,0.055262945,TRUE,coronal,0,labial
18,female,bir,182.8192878,542.5539244,1577.853904,2927.353676,0.190744199,FALSE,coronal,0,labial
19,female,bir,191.4358686,1487.708155,2388.072955,3136.083773,0.078285335,FALSE,coronal,0,labial
19,female,bir,185.7334422,285.9738502,1894.690873,2724.754012,0.094232348,TRUE,coronal,0,labial
2,female,bir,219.8579915,586.2063224,1760.15487,2911.854608,0.081979164,FALSE,coronal,0,labial
2,female,bir,158.1347641,515.4638848,1531.165501,2716.941249,0.032450086,TRUE,coronal,0,labial
20,female,bir,228.2499137,475.9253279,1581.981981,2730.174192,0.070174669,TRUE,coronal,1,labial
20,female,bir,260.5321441,475.8130012,1765.280944,2912.057262,0.115940758,FALSE,coronal,1,labial
21,female,bir,177.4989833,483.7678734,1462.803798,2894.454359,0.111853612,FALSE,coronal,0,labial
21,female,bir,240.9630517,521.7247898,1661.673465,3065.988297,0.080551661,TRUE,coronal,0,labial
22,female,bir,224.4801249,449.2104995,1750.288491,2885.636762,0.039613415,TRUE,coronal,0,labial
22,female,bir,235.5991319,505.3442523,1633.592714,3229.550544,0.074091758,FALSE,coronal,0,labial
23,female,bir,209.8713853,461.8035225,1210.991604,2956.208531,0.060394178,TRUE,coronal,0,labial
23,female,bir,198.858712,544.2619427,1789.707678,3217.256838,0.184950785,FALSE,coronal,0,labial
3,female,bir,247.4422784,493.8694309,1446.589076,2557.060578,0.044442189,TRUE,coronal,1,labial
3,female,bir,205.5461336,424.6699297,1628.590834,1935.62,0.062335274,FALSE,coronal,1,labial
4,female,bir,--undefined--,599.6615669,1909.039372,3256.20619,0.064823444,FALSE,coronal,0,labial
4,female,bir,176.857212,581.5784169,1845.646641,3219.793742,0.039189661,TRUE,coronal,0,labial
5,female,bir,208.5563744,544.8335175,1247.808651,2666.215964,0.068157095,TRUE,coronal,0,labial
5,female,bir,217.2395318,613.0532143,1659.255588,2784.42454,0.097588569,FALSE,coronal,0,labial
6,female,bir,188.7028285,473.093633,1131.57154,3068.254239,0.063390426,TRUE,coronal,0,labial
6,female,bir,180.5596936,424.7720882,1923.459581,3084.248546,0.077125726,FALSE,coronal,0,labial
7,female,bir,161.7337747,522.2583294,1236.562207,2289.632468,0.073399949,TRUE,coronal,0,labial
7,female,bir,171.0443338,512.3371215,1093.477984,2888.340786,0.078404491,FALSE,coronal,0,labial
8,female,bir,189.9587533,513.3660745,2094.841387,3280.254056,0.125161824,FALSE,coronal,0,labial
8,female,bir,179.9775,492.3317154,1279.886769,2594.967412,0.090317604,TRUE,coronal,0,labial
9,female,bir,174.8183411,525.2668561,1625.553946,2789.177084,0.106387593,FALSE,coronal,0,labial
9,female,bir,203.0740058,522.4954602,1824.643694,2831.896965,0.07176241,TRUE,coronal,0,labial
1,female,biz,208.1784692,414.6316133,1820.1252,3014.681756,0.095699623,FALSE,coronal,0,labial
1,female,biz,190.7051146,417.1189251,1852.955366,2854.511895,0.084099669,TRUE,coronal,0,labial
10,female,biz,184.3318072,390.9241596,2065.04533,3300.520983,0.115504317,TRUE,coronal,0,labial
10,female,biz,161.5871254,463.263502,2142.140324,3127.40698,0.108104285,FALSE,coronal,0,labial
11,male,biz,111.0919339,317.319051,1547.405229,2720.334765,0.055191236,TRUE,coronal,0,labial
11,male,biz,110.7071024,389.3082988,1586.747133,2610.197302,0.107413916,FALSE,coronal,0,labial
12,male,biz,117.883699,318.5894393,1357.862631,2357.615469,0.040214324,TRUE,coronal,1,labial
12,male,biz,146.9610451,371.5607914,1390.042119,2612.577948,0.048272373,FALSE,coronal,1,labial
13,male,biz,103.5365677,377.0893235,1462.612295,2639.061266,0.081090347,FALSE,coronal,0,labial
13,male,biz,95.9695112,360.4277291,1625.481761,2713.289959,0.044722577,TRUE,coronal,0,labial
14,female,biz,178.6898654,397.0253601,1520.931814,3143.630721,0.116199696,FALSE,coronal,0,labial
14,female,biz,191.250156,319.439184,1732.016081,2741.311136,0.055608361,TRUE,coronal,0,labial
15,male,biz,135.0404424,364.256637,1957.396382,2679.118742,0.079864944,TRUE,coronal,0,labial
15,male,biz,141.7459736,447.2767879,1693.486449,2852.966097,0.076097331,FALSE,coronal,0,labial
16,male,biz,112.5201378,378.4618816,1578.84701,2947.005175,0.111113442,FALSE,coronal,0,labial
16,male,biz,111.6016215,358.6471919,1580.561438,2958.394797,0.061388713,TRUE,coronal,0,labial
17,female,biz,209.0727931,393.7556763,1903.784466,3326.688283,0.045864522,TRUE,coronal,0,labial
17,female,biz,253.8262391,467.0696028,1958.229021,3058.671346,0.083258561,FALSE,coronal,0,labial
18,female,biz,194.3911017,513.5784283,2009.39109,3106.213131,0.110985479,FALSE,coronal,0,labial
18,female,biz,191.6324934,495.6602484,2020.823494,3088.939119,0.106262692,TRUE,coronal,0,labial
19,female,biz,202.8499932,387.6202743,1946.037479,3172.637326,0.092782619,FALSE,coronal,0,labial
19,female,biz,187.0988375,242.2036131,1870.960616,2606.834157,0.079735064,TRUE,coronal,0,labial
2,female,biz,146.3322371,368.4573627,1914.283485,3360.55414,0.063192272,TRUE,coronal,0,labial
2,female,biz,142.1663036,355.0972273,1892.144689,3177.652922,0.131508242,FALSE,coronal,0,labial
20,female,biz,220.4254655,335.4548336,1716.928876,2910.193894,0.143400411,TRUE,coronal,0,labial
20,female,biz,250.3678141,474.9226202,1774.057333,2722.904929,0.103736468,FALSE,coronal,0,labial
21,female,biz,161.9900929,409.2651859,1625.316953,3135.633812,0.131501374,FALSE,coronal,0,labial
21,female,biz,191.6679198,366.1660673,1788.274884,3182.070191,0.050811915,TRUE,coronal,0,labial
22,female,biz,--undefined--,353.5748163,2082.013248,2856.938957,0.056195221,TRUE,coronal,0,labial
22,female,biz,250.4571126,492.951884,1878.434796,2463.072128,0.130973462,FALSE,coronal,0,labial
23,female,biz,210.2621677,428.4873195,1842.078285,2923.376212,0.077108027,FALSE,coronal,0,labial
23,female,biz,--undefined--,327.381868,2218.812139,3476.928358,0.047814915,TRUE,coronal,0,labial
